,reviewerID,asin,helpful,overall
0,A2IBPI20UZIR0U,1384719342,"[0, 0]",5.0
1,A14VAT5EAX3D9S,1384719342,"[13, 14]",5.0
2,A195EZSQDW3E21,1384719342,"[1, 1]",5.0
3,A2C00NNG1ZQQG2,1384719342,"[0, 0]",5.0
4,A94QU4C90B1AX,1384719342,"[0, 0]",5.0
5,A2A039TZMZHH9Y,B00004Y2UT,"[0, 0]",5.0
6,A1UPZM995ZAH90,B00004Y2UT,"[0, 0]",5.0
7,AJNFQI3YR6XJ5,B00004Y2UT,"[0, 0]",3.0
8,A3M1PLEYNDEYO8,B00004Y2UT,"[0, 0]",5.0
9,AMNTZU1YQN1TH,B00004Y2UT,"[0, 0]",5.0
10,A2NYK9KWFMJV4Y,B00004Y2UT,"[6, 6]",5.0
11,A35QFQI0M46LWO,B00005ML71,"[0, 0]",4.0
12,A2NIT6BKW11XJQ,B00005ML71,"[0, 0]",3.0
13,A1C0O09LOLVI39,B00005ML71,"[0, 0]",5.0
14,A17SLR18TUMULM,B00005ML71,"[0, 0]",5.0
15,A2PD27UKAD3Q00,B00005ML71,"[0, 0]",2.0
16,AKSFZ4G1AXYFC,B000068NSX,"[0, 0]",4.0
17,A67OJZLHBBUQ9,B000068NSX,"[0, 0]",5.0
18,A2EZWZ8MBEDOLN,B000068NSX,"[3, 3]",5.0
19,A1CL807EOUPVP1,B000068NSX,"[0, 0]",5.0
20,A1GMWTGXW682GB,B000068NSX,"[0, 0]",4.0
21,A2G12DY50U700V,B000068NSX,"[0, 0]",5.0
22,A3E0CF25A7LD2,B000068NSX,"[0, 0]",4.0
23,A2W3CLAYZLDPTV,B000068NTU,"[0, 0]",5.0
24,A398X9POBHK69N,B000068NTU,"[0, 0]",5.0
25,AXWB93VKVML6K,B000068NTU,"[0, 0]",4.0
26,A2FZ4Z0UFA1OR8,B000068NTU,"[0, 0]",5.0
27,AXP9CF1UTFRSU,B000068NTU,"[0, 0]",5.0
28,A2CCGGDGZ694CT,B000068NVI,"[1, 1]",4.0
29,A27DR1VO079F1V,B000068NVI,"[0, 0]",5.0
30,A1LQC225SE8UNI,B000068NVI,"[0, 0]",5.0
31,AU9BPT3Y3K6J4,B000068NVI,"[0, 0]",5.0
32,A14Z9LAETO21KL,B000068NVI,"[0, 0]",4.0
33,A2074KEJGRYJV4,B000068NVI,"[0, 0]",5.0
34,A7TRK2GG6BHWD,B000068NVI,"[0, 0]",5.0
35,A319B090A2POEB,B000068NVI,"[0, 0]",4.0
36,A396ELNTQDFYPO,B000068NVI,"[0, 0]",4.0
37,A17CU1D2CWXOHB,B000068NVI,"[0, 0]",4.0
38,A1S0HTDO0P4N5V,B000068NVI,"[0, 0]",5.0
39,A3DWQW2L39RB1S,B000068NVI,"[0, 0]",4.0
40,AQQ91U1U4YKDF,B000068NVI,"[0, 0]",5.0
41,AA5TINW2RJ195,B000068NW5,"[0, 0]",5.0
42,ABC68JUCPTVOE,B000068NW5,"[0, 0]",5.0
43,A3W2E6S24BTXXK,B000068NW5,"[0, 0]",5.0
44,A3872Y2XH0YDX1,B000068NW5,"[0, 0]",5.0
45,A398X9POBHK69N,B000068NW5,"[0, 0]",4.0
46,A13A81NN0NRD1S,B000068NW5,"[12, 13]",4.0
47,A1EUO0BU72JR7T,B000068NW5,"[0, 0]",5.0
48,A1H4WSC8JWS59N,B000068NW5,"[0, 0]",5.0
49,A3OXHLG6DIBRW8,B000068NW5,"[0, 1]",5.0
50,A12ABV9NU02O29,B000068NW5,"[2, 2]",2.0
51,A2U1Z3TZ4P76JB,B000068NW5,"[0, 0]",5.0
52,A1L7M2JXN4EZCR,B000068NW5,"[0, 0]",1.0
53,A37A41GWQFMK3D,B000068NW5,"[0, 0]",4.0
54,A2JK2ITE138P7Z,B000068NW5,"[0, 0]",5.0
55,A1DVUFG2QSJ6IK,B000068NW5,"[0, 0]",5.0
56,A34VZEFXQJJ7AT,B000068NW5,"[0, 0]",5.0
57,A1SD1C8XK3Z3V1,B000068NW5,"[0, 0]",5.0
58,AKHWZ3S1UVZAO,B000068NW5,"[0, 0]",4.0
59,A3LNNEYLGGCO25,B000068NW5,"[0, 0]",3.0
60,AMACM7BGUQCZD,B000068NW5,"[0, 0]",5.0
61,A38HMS5RYSYF8G,B000068NW5,"[0, 0]",5.0
62,A6D91KPQGIDKZ,B000068NW5,"[0, 0]",5.0
63,A2RCCN4KEXZGC8,B000068NW5,"[0, 0]",5.0
64,A3GAP455S8YH0M,B000068NW5,"[0, 0]",5.0
65,A1N06X05VZWO5Y,B000068NW5,"[0, 0]",5.0
66,A3TA1UJWRJF9NC,B000068NW5,"[3, 3]",5.0
67,A3VPISTBNS66C5,B000068NW5,"[0, 0]",4.0
68,A1E5FQZTUM8OC1,B000068NW5,"[0, 0]",5.0
69,A3MYWHYZ30WLQJ,B000068NW5,"[0, 0]",5.0
70,A1FHOW9NVOH8XR,B000068NW5,"[0, 0]",5.0
71,A319B090A2POEB,B000068NW5,"[0, 0]",3.0
72,A2VH0UT5EQFB6P,B000068NW5,"[0, 0]",5.0
73,A396ELNTQDFYPO,B000068NW5,"[0, 0]",4.0
74,A2WYAHJGST6AOT,B000068NW5,"[0, 1]",3.0
75,A781ITP3HE2N5,B000068NW5,"[0, 0]",5.0
76,AN73VQ17FZVJ8,B000068NW5,"[2, 2]",3.0
77,ALUTHT4U058KZ,B000068NW5,"[6, 6]",4.0
78,A1A15ECLHM9BQY,B000068NW5,"[0, 0]",5.0
79,A1S8R9OAIQT7YI,B000068NW5,"[0, 0]",4.0
80,A3RHT4KI3H5TVH,B000068NW5,"[0, 0]",5.0
81,AVY8D3ULJTX0H,B000068NW5,"[0, 0]",5.0
82,A15BHBF0L0HV1F,B000068NW5,"[0, 0]",5.0
83,A1AFN4T80DZ3RR,B000068NW5,"[0, 0]",5.0
84,A3DCG2MNPR4BW,B000068NW5,"[0, 0]",5.0
85,A3NGAQKJ6X088B,B000068NW5,"[0, 0]",5.0
